country,total_population,pop_under_18,pop_under_5,an_pop_growth_2000_2020,an_pop_growth_2020_2030,,total_fertility,life_exp_1970,life_exp_2000,life_exp_2021,dep_ratio_total,dep_ratio_child,dep_ratio_oldage,urban_pop_share,ann_growth_rate_2000_2020,ann_growth_rate_2020_2030,,net_mig_rate,under_five_mort_1990,under_five_mort_1992,under_five_mort_1994,under_five_mort_1996,under_five_mort_1998,under_five_mort_2000,under_five_mort_2002,under_five_mort_2004,under_five_mort_2006,under_five_mort_2008,under_five_mort_2010,under_five_mort_2012,under_five_mort_2014,under_five_mort_2016,under_five_mort_2018,under_five_mort_2020,under_five_mort_2022,under_five_mort_2024,female_life_exp_2021,materal_universal_health_2019,family_planning_demand_2016_2021,antenatal_care_1_visit,antenatal_care_4_visit,per_birth_attendent,per_inst_delivery,per_c_section,num_materal_deaths,maternal_mort_ratio,total_ece_attendence,male_ece_attendance,female_ece_attendance,low20_ece_attend,high20_ece_attend,total_earlystim,male_earlystim,female_earlystim,low20_earlystim,high20_earlystim,books_athome,toys_athome,total_inq_sup,male_inq_sup,female_inq_sup,low20_inq_sup,high20_inq_sup,total_development_ontrack,male_development_ontrack,female_development_ontrack,low20_development_ontrack,high20_development_ontrack,oos_ male_age_beforeprimary,oos_female_age_beforeprimary,oos_male_primaryrate,oos_female_primaryrate,oos_male_lowsecrate,oos_female_lowsecrate,oos_male_upsecrate,oos_female_upsecrate,male_primary_complrate,female_primary_complrate,male_lowsec_complrate,female_lowsec_complrate,male_upsec_complrate,female_upsec_complrate,lo_grade3_prof_read,lo_grade3_prof_math,lo_endprim_prof_read,lo_endprim_prof_math,lo_lowsec_prof_read,lo_lowsec_prof_math,youth_lit_rate_male,youth_lit_rate_female,child_labor_total,child_labor_male,child_labor_female,child_marriage_female,child_marriage_male,child_under1_total,child_under5_total,child_under5_male,child_under5_female,mother_nb_cb,prop_child_socoprotect,bottom40_socoprotect_bene,top20_socoprotect_bene,bottom20_socoprotect_bene,bottom40_householdincomeshare,top20_householdincomeshare,bottom20_householdincomeshare,gini_coef,palma_index,vmr_ratio,gdp_percaptia,sigi_index,gender_eq_legal,maternity_leave,paternity_leave,ed_attan_us_male,ed_attan_us_female,rural_lf_part_rate_male,urban_lf_part_rate_male,total_lf_part_rate_male,rural_lf_part_rate_female,urban_lf_part_rate_female,total_lf_part_rate_female,rural_unemploy_male,urban_unemploy_male,total_unemploy_male,rural_unemploy_female,urban_unemploy_female,total_unemploy_female,male_mobilephone,female_mobilephone,finanical_inclusion_male,finanical_inclusion_female,unpaid_time_use_male,unpaid_time_use_female
Bhutan,777,220,51,1,1,10,1,40,62,72,41,32,9,43,4,2,,0,127,77,27,5,29,24,89,22,42,32,15,17,7,17,9,3,263,144,74,62,85,98,85,96,94,12,6,60,10,10,10,3,27,54,52,57,40,73,6,52,14,13,15,17,7,72,68,75,67,80,58,59,5,2,18,6,33,22,67,71,41,38,25,18,-,-,-,-,-,-,-,-,4,3,4,26,-,100,100,100,100,10,14,-,-,-,18,44,7,37,2,1,3316,-,-,No,Yes,20,14,73,76,74,64,49,60,1,3,2,2,6,3,-,-,-,-,-,-
Bolivia (Plurinational State of),12079,4470,1272,2,1,264,3,47,62,64,56,49,8,70,2,2,,0,121,76,25,5,27,22,84,20,41,29,13,12,4,16,9,3,6484,3477,67,67,50,96,86,81,80,33,420,161,21,19,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,5,5,12,11,22,22,91,93,84,82,66,65,48,38,15,8,-,-,100,100,14,14,13,20,5,-,92,-,-,59,66,43,24,25,15,47,5,43,2,1,3552,Low,-,No,Yes,81,79,93,75,81,78,58,64,1,5,3,1,5,4,-,-,-,-,-,-
Bosnia and Herzegovina,3271,588,154,-1,-1,28,1,67,74,75,49,22,27,49,0,0,,-8,18,10,6,3,6,5,16,5,11,7,4,3,1,4,3,2,159,113,78,65,22,87,84,100,100,14,2,6,13,12,14,2,31,95,95,96,87,100,56,56,2,2,2,3,1,96,95,98,95,94,70,71,13,13,5,7,20,17,99,100,97,97,92,92,-,-,-,40,46,-,-,-,-,-,-,3,0,98,100,100,99,100,-,37,25,16,20,41,8,33,1,1,6109,Low,-,Yes,Yes,80,59,58,58,58,34,42,37,12,16,14,19,18,19,-,-,-,-,-,-
Botswana,2588,1000,297,2,1,61,3,55,51,61,57,52,6,72,3,2,,1,45,74,35,4,38,31,34,28,18,8,18,19,7,11,15,-1,2131,1098,64,54,-,94,73,100,100,-,120,186,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,79,78,10,8,11,9,21,18,95,98,92,92,55,66,-,-,-,-,-,-,-,-,-,-,-,-,-,79,88,87,88,24,4,22,36,7,11,59,4,53,4,1,7961,-,-,No,No,2,1,78,75,76,63,67,65,13,15,14,20,21,21,-,-,-,-,-,-
Brazil,214326,53465,14241,1,0,2761,2,57,70,73,43,29,14,87,1,1,,0,63,35,14,4,16,13,53,13,26,19,8,4,2,10,7,2,40107,23391,76,75,89,97,93,99,99,56,2000,72,93,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,3,1,16,14,95,97,81,89,65,75,-,-,-,-,50,32,99,99,5,5,5,26,-,-,96,-,-,48,68,59,4,33,11,58,3,54,4,1,8717,Low,80,Yes,Yes,45,50,68,76,74,38,58,55,8,11,10,13,14,14,88,90,73,68,5,12
British Virgin Islands,31,6,1,2,1,0,1,67,74,74,33,20,13,49,3,1,,4,19,16,10,2,11,9,17,10,10,8,5,3,2,-,-,-,2,1,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,0,-,-,-,-,24,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,21,-,-,-,-,-,-,-,-,-,-,-,-,76,77,-,-,-,-
Brunei Darussalam,445,119,32,1,1,6,2,64,74,75,39,31,8,79,2,1,,0,13,10,11,-1,12,10,10,10,6,5,6,4,2,5,5,0,72,38,77,77,-,99,93,100,100,-,3,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,2,2,-,-,19,14,-,-,-,-,-,-,-,-,-,-,48,52,100,100,-,-,-,-,-,-,100,-,-,63,-,-,-,-,-,-,-,56,5,-,31087,-,-,No,No,64,62,68,74,73,53,57,56,11,5,6,13,7,8,91,99,-,-,-,-
Bulgaria,6886,1156,306,-1,-1,58,2,71,72,72,57,22,35,76,0,-1,,-1,18,17,6,5,7,6,15,5,8,8,3,4,2,8,5,2,377,175,76,70,-,-,-,100,100,47,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,17,15,15,14,15,14,18,-,-,-,-,-,-,-,-,95,71,53,56,-,-,-,-,-,-,-,-,100,100,100,100,49,-,-,-,17,48,6,41,2,1,9828,Low,-,Yes,Yes,79,77,56,67,64,40,55,50,8,3,5,8,3,4,-,-,-,-,-,-
Burkina Faso,22101,11244,3568,3,2,786,5,39,51,59,87,83,5,31,5,4,,-1,199,179,83,4,87,78,99,52,46,41,25,38,17,29,20,2,63466,19832,61,43,53,93,47,80,82,4,2000,264,3,3,3,-,-,14,14,14,12,26,-,-,-,-,-,-,-,-,-,-,-,-,79,79,24,25,49,44,68,66,32,29,13,6,6,2,34,61,33,25,-,-,64,54,42,44,40,52,4,73,77,77,77,0,-,3,68,2,20,44,8,35,1,1,787,Medium,-,Yes,Yes,9,4,77,70,75,60,56,59,4,7,5,3,10,5,-,-,-,-,-,-
Burundi,12551,6655,2054,3,2,438,5,43,48,62,95,90,5,14,6,5,,-1,170,155,53,5,57,48,103,38,39,37,20,59,19,29,18,2,22715,8943,64,44,40,99,49,85,84,4,2200,494,7,7,7,1,31,58,58,59,56,67,0,35,42,42,42,43,30,40,34,46,33,54,52,50,12,8,33,26,65,59,46,54,26,19,4,3,79,99,5,18,-,-,-,-,31,30,32,19,1,73,84,84,83,-,-,-,-,-,18,46,7,39,2,1,261,-,-,No,Yes,8,4,79,70,78,84,58,81,1,8,2,0,8,1,25,12,7,7,-,-
