country,total_population,pop_under_18,pop_under_5,an_pop_growth_2000_2020,an_pop_growth_2020_2030,,total_fertility,life_exp_1970,life_exp_2000,life_exp_2021,dep_ratio_total,dep_ratio_child,dep_ratio_oldage,urban_pop_share,ann_growth_rate_2000_2020,ann_growth_rate_2020_2030,,net_mig_rate,under_five_mort_1990,under_five_mort_1992,under_five_mort_1994,under_five_mort_1996,under_five_mort_1998,under_five_mort_2000,under_five_mort_2002,under_five_mort_2004,under_five_mort_2006,under_five_mort_2008,under_five_mort_2010,under_five_mort_2012,under_five_mort_2014,under_five_mort_2016,under_five_mort_2018,under_five_mort_2020,under_five_mort_2022,under_five_mort_2024,female_life_exp_2021,materal_universal_health_2019,family_planning_demand_2016_2021,antenatal_care_1_visit,antenatal_care_4_visit,per_birth_attendent,per_inst_delivery,per_c_section,num_materal_deaths,maternal_mort_ratio,total_ece_attendence,male_ece_attendance,female_ece_attendance,low20_ece_attend,high20_ece_attend,total_earlystim,male_earlystim,female_earlystim,low20_earlystim,high20_earlystim,books_athome,toys_athome,total_inq_sup,male_inq_sup,female_inq_sup,low20_inq_sup,high20_inq_sup,total_development_ontrack,male_development_ontrack,female_development_ontrack,low20_development_ontrack,high20_development_ontrack,oos_ male_age_beforeprimary,oos_female_age_beforeprimary,oos_male_primaryrate,oos_female_primaryrate,oos_male_lowsecrate,oos_female_lowsecrate,oos_male_upsecrate,oos_female_upsecrate,male_primary_complrate,female_primary_complrate,male_lowsec_complrate,female_lowsec_complrate,male_upsec_complrate,female_upsec_complrate,lo_grade3_prof_read,lo_grade3_prof_math,lo_endprim_prof_read,lo_endprim_prof_math,lo_lowsec_prof_read,lo_lowsec_prof_math,youth_lit_rate_male,youth_lit_rate_female,child_labor_total,child_labor_male,child_labor_female,child_marriage_female,child_marriage_male,child_under1_total,child_under5_total,child_under5_male,child_under5_female,mother_nb_cb,prop_child_socoprotect,bottom40_socoprotect_bene,top20_socoprotect_bene,bottom20_socoprotect_bene,bottom40_householdincomeshare,top20_householdincomeshare,bottom20_householdincomeshare,gini_coef,palma_index,vmr_ratio,gdp_percaptia,sigi_index,gender_eq_legal,maternity_leave,paternity_leave,ed_attan_us_male,ed_attan_us_female,rural_lf_part_rate_male,urban_lf_part_rate_male,total_lf_part_rate_male,rural_lf_part_rate_female,urban_lf_part_rate_female,total_lf_part_rate_female,rural_unemploy_male,urban_unemploy_male,total_unemploy_male,rural_unemploy_female,urban_unemploy_female,total_unemploy_female,male_mobilephone,female_mobilephone,finanical_inclusion_male,finanical_inclusion_female,unpaid_time_use_male,unpaid_time_use_female
Guinea-Bissau,2061,975,295,2,2,64,4,38,50,60,77,72,5,45,3,3,,-1,223,174,74,4,80,68,132,50,64,55,34,45,13,46,31,2,4693,2197,62,37,60,97,81,54,50,3,460,725,14,12,17,5,54,43,42,44,31,72,1,44,70,71,70,68,73,73,72,75,70,75,-,-,-,-,-,-,-,-,29,25,18,16,14,8,-,-,-,-,-,-,-,-,17,18,16,26,2,36,46,47,45,-,-,-,-,-,-,-,-,51,3,1,697,-,-,No,No,-,-,84,67,79,70,57,66,2,6,3,2,6,3,-,-,-,-,-,-
Guyana,805,275,79,0,1,16,2,60,64,66,54,44,9,27,0,1,,-5,61,47,28,3,31,24,47,23,31,27,17,5,5,19,13,2,450,276,69,74,52,91,87,95,93,17,18,112,61,63,59,45,76,87,85,90,82,94,47,69,5,5,5,10,1,86,85,87,78,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,12,30,9,68,89,88,89,30,-,-,-,-,-,-,-,35,2,1,6610,-,-,No,No,-,-,69,62,67,40,50,43,12,12,12,17,16,17,-,-,-,-,-,-
Haiti,11448,4397,1277,1,1,269,3,47,58,63,58,51,7,58,4,2,,-3,145,104,59,3,64,53,100,45,39,30,24,28,12,21,18,1,15748,6540,66,47,45,91,67,42,39,5,950,350,63,63,63,31,84,54,52,57,34,79,8,48,22,23,22,28,15,65,62,69,61,77,-,-,-,-,-,-,-,-,49,58,32,38,17,16,-,-,-,-,-,-,-,-,36,44,26,15,2,57,85,84,85,-,4,-,-,-,16,47,6,61,6,0,1272,Medium,-,No,No,1,0,78,67,73,70,58,64,6,17,11,10,23,16,-,-,35,30,-,-
Holy See,1,-,-,-1,1,0,1,71,79,82,-,-,-,-,-,-,,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,10278,3784,1056,2,1,217,2,54,69,70,53,47,6,59,3,2,,-1,58,37,17,4,18,15,45,14,22,18,10,9,5,14,8,3,3570,2059,73,63,76,96,88,94,92,25,160,72,14,14,13,15,18,36,35,37,21,60,7,70,6,6,6,8,4,75,75,74,70,81,25,23,16,15,41,38,60,55,85,89,50,58,29,37,-,-,-,-,30,15,95,97,15,18,13,34,10,87,97,97,97,-,19,55,16,28,12,52,4,49,3,1,2575,Low,-,No,No,32,28,92,81,86,43,58,52,2,8,5,5,8,7,-,-,-,-,-,-
Hungary,9710,1707,468,0,0,92,2,69,72,75,54,22,31,72,0,0,,2,17,10,4,4,4,4,15,3,11,6,2,3,1,4,4,1,369,191,78,73,-,-,-,100,-,31,14,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,8,5,6,3,3,13,11,-,-,-,-,-,-,-,-,97,74,75,68,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,22,38,8,28,1,1,16730,Low,-,Yes,Yes,84,76,67,66,66,48,49,48,5,3,3,4,3,4,-,-,-,-,-,-
Iceland,370,83,22,1,1,5,2,74,80,83,50,28,22,94,1,1,,2,6,4,3,2,3,2,5,2,3,2,1,2,1,3,2,2,12,6,84,87,-,-,-,97,-,17,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2,0,1,1,0,17,14,-,-,-,-,-,-,-,-,-,-,74,79,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,-,24,36,10,23,1,1,67084,-,-,Yes,Yes,74,74,79,79,79,68,71,70,4,4,4,3,3,3,-,-,-,-,-,-
India,1407564,438164,115307,1,1,23114,2,48,63,67,48,38,10,35,2,2,,0,127,92,31,5,30,31,89,25,57,45,19,21,4,30,12,4,709366,441801,69,61,73,85,59,89,89,22,24000,103,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,14,6,4,17,13,43,41,92,91,82,79,46,40,47,53,46,44,38,40,93,90,-,-,-,27,4,79,80,79,80,42,24,43,17,23,20,44,8,52,4,1,2100,Medium,-,Yes,No,34,19,77,75,76,22,19,21,5,6,5,3,10,5,-,-,-,-,-,-
Indonesia,273753,83188,22414,1,1,4496,2,53,66,68,48,38,10,57,3,2,,0,84,52,22,4,24,20,62,19,31,23,11,13,5,15,9,2,100012,50931,70,59,77,98,77,95,79,17,7800,173,18,17,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88,-,-,-,-,8,0,3,8,19,14,23,22,96,98,86,90,64,63,-,-,-,18,30,28,100,100,-,-,-,16,5,-,77,-,-,28,26,58,6,31,18,46,7,38,2,1,4136,High,-,No,Yes,42,35,85,80,82,56,52,54,3,5,4,3,4,3,68,58,46,51,-,-
Iran (Islamic Republic of),87923,24425,6896,1,1,1204,2,50,70,74,45,35,11,76,2,1,,0,57,36,13,5,13,12,45,11,25,19,8,14,3,12,7,3,15806,9719,77,77,69,97,94,99,95,55,270,22,18,-,-,-,-,70,69,70,-,-,36,83,13,-,-,-,-,-,-,-,-,-,37,35,-,-,1,3,17,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,99,99,99,13,16,-,-,-,16,49,6,41,2,1,5550,Very high,-,Yes,Yes,48,49,77,71,72,19,17,18,6,11,10,14,20,18,84,59,96,92,-,-
Iraq,43534,19352,5691,3,2,1192,3,60,67,70,71,65,6,71,3,2,,-1,54,44,25,3,27,22,42,21,26,24,14,11,5,17,12,2,28890,16772,72,55,54,88,68,96,87,33,900,76,2,2,3,1,5,44,44,45,31,53,3,47,10,10,10,12,12,79,78,80,71,89,-,-,-,-,-,-,-,-,78,73,46,47,45,43,-,-,-,-,-,-,-,-,5,5,4,28,-,98,99,99,99,-,-,27,35,12,22,39,9,41,2,1,5955,Very high,70,Yes,No,34,24,76,74,74,7,13,12,10,10,10,13,34,31,63,43,26,20,-,-
Ireland,4987,1189,305,1,1,59,2,71,77,82,53,31,23,64,2,1,,3,9,7,3,4,3,3,8,3,5,4,2,2,1,5,3,3,187,121,84,83,-,100,-,100,100,25,3,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,2,1,-,-,-,-,-,-,98,84,-,-,88,84,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,21,40,8,28,1,1,78779,Very low,90,Yes,Yes,68,73,67,70,69,54,58,56,5,6,5,5,5,5,87,88,95,95,-,-
Israel,8900,2930,890,2,1,174,3,71,79,82,67,47,20,93,2,1,,2,12,7,3,3,4,3,10,3,6,4,2,2,1,4,3,2,589,302,84,84,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91,-,69,66,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,-,16,44,5,35,1,1,43589,-,70,Yes,No,82,81,70,68,68,64,59,60,3,4,4,3,4,4,95,94,92,94,-,-
Italy,59240,9203,2161,0,0,410,1,72,80,83,57,20,37,71,0,0,,0,10,6,3,4,3,2,8,2,6,3,1,2,1,3,2,1,1081,604,85,83,-,99,68,100,100,40,19,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,9,3,4,2,3,6,5,-,-,-,-,-,-,-,-,98,73,77,62,100,100,-,-,-,-,-,-,100,100,100,100,-,-,-,-,18,42,6,33,1,1,33226,Very low,-,Yes,Yes,53,52,58,59,59,39,42,41,9,9,9,11,11,11,93,90,96,92,8,20
Jamaica,2828,712,169,0,0,33,1,67,71,71,38,28,10,57,1,1,,-2,28,21,12,3,14,11,23,11,18,17,10,4,3,18,14,1,414,342,73,70,83,98,86,100,99,21,33,99,92,92,91,88,100,88,86,90,76,86,55,61,2,2,2,2,1,89,86,93,79,97,-,-,37,29,-,-,57,33,99,100,97,97,80,83,85,67,-,-,-,-,-,-,3,3,2,8,-,97,98,-,-,7,27,52,2,32,16,48,6,37,2,1,5582,Low,50,No,No,-,-,76,71,73,59,61,60,5,7,6,8,11,10,96,97,79,78,-,-
Japan,124613,17962,4286,0,-1,819,1,72,81,85,71,20,51,92,1,0,,1,6,5,2,3,2,2,5,2,3,2,1,2,1,3,2,2,1930,667,88,85,-,-,-,100,100,-,36,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,-,85,-,-,-,21,41,8,34,1,1,40247,Low,70,Yes,Yes,82,79,69,73,72,52,54,54,2,3,3,2,3,2,94,92,98,98,3,15
Jordan,11148,4289,1195,4,1,245,3,60,72,74,57,51,6,92,4,1,,1,36,27,15,3,16,13,30,13,20,16,9,5,2,12,9,1,3545,2087,77,60,57,98,92,100,98,26,100,41,13,12,14,5,35,92,92,91,85,99,16,71,16,17,16,16,21,71,66,76,66,76,51,50,20,21,28,28,46,41,96,97,86,88,49,63,-,-,-,-,59,41,99,99,2,2,1,10,0,97,98,98,98,5,9,-,-,-,-,-,-,40,2,1,4405,Very high,-,No,Yes,51,50,67,61,64,15,14,15,13,18,15,21,27,24,-,-,-,-,-,-
Kazakhstan,19196,6498,2009,1,1,413,3,61,64,69,60,47,13,58,1,1,,-1,52,43,10,7,12,9,44,9,23,24,5,6,3,11,8,1,4295,2081,73,76,73,99,95,100,99,15,57,13,55,53,58,45,70,86,84,87,83,95,51,60,5,4,6,8,3,86,85,86,87,88,22,23,10,9,-,-,-,-,100,100,100,100,95,96,-,-,98,71,36,51,100,100,-,-,-,7,0,99,100,100,100,44,57,39,20,19,23,38,10,27,1,1,9813,Low,70,Yes,No,98,97,72,78,76,59,65,63,3,5,4,4,6,5,91,90,57,60,6,19
Kenya,53006,24050,6913,2,2,1468,3,54,54,61,70,65,5,28,4,3,,-1,102,99,37,5,40,34,65,28,27,27,18,16,9,20,19,0,54038,27040,64,56,74,93,59,70,61,9,7700,530,16,14,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,82,61,69,44,38,53,42,44,29,-,-,88,88,-,-,-,23,3,68,67,67,66,30,4,38,24,20,17,48,6,41,2,1,1817,Medium,90,No,Yes,26,18,75,79,77,74,68,72,1,4,2,1,6,3,48,47,86,78,-,-
Kiribati,129,53,17,2,1,4,3,55,64,67,66,60,6,56,3,2,,-2,92,68,48,2,52,44,67,38,35,28,21,15,9,18,14,1,168,73,69,51,53,89,67,92,86,9,3,76,72,69,75,76,76,77,76,79,71,84,4,60,31,31,30,35,31,80,78,82,70,89,4,0,-,-,-,-,-,-,92,96,69,88,13,20,-,-,-,-,-,-,-,-,17,19,15,18,9,85,92,93,90,-,1,-,-,-,-,-,-,37,2,1,1655,-,-,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,4250,1043,259,4,0,44,2,67,77,79,34,28,6,100,4,0,,-9,18,13,9,2,10,8,15,7,10,7,5,5,2,7,5,1,434,217,82,70,-,100,-,100,99,-,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,28,4,1,9,4,20,17,-,-,-,-,-,-,-,-,-,21,-,21,99,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,2,-,32000,-,-,No,No,27,39,85,89,88,48,50,50,1,1,1,5,7,6,99,100,83,73,-,-
Kyrgyzstan,6528,2574,805,1,1,158,3,58,65,70,64,56,7,37,1,2,,-3,65,50,17,5,19,15,54,16,24,20,12,6,3,11,6,3,2774,1881,74,70,65,100,94,100,100,8,81,50,39,40,38,25,57,87,88,86,88,88,21,72,8,7,8,11,5,72,68,75,73,78,14,12,-,-,0,1,30,25,99,100,99,99,89,85,39,30,40,40,49,35,100,100,22,25,19,13,0,97,99,100,98,24,17,62,7,35,23,40,10,28,1,1,1310,Low,-,Yes,No,90,87,75,74,75,49,41,44,4,6,6,7,10,9,-,-,-,-,-,-
Lao People's Democratic Republic,7425,2739,790,1,1,163,2,44,58,68,55,48,7,37,4,3,,-1,154,107,43,4,47,38,106,34,47,38,21,42,7,23,16,2,6939,3434,70,50,72,78,62,64,65,6,220,132,32,30,34,13,69,30,29,30,21,49,4,61,12,13,12,17,6,89,88,91,85,94,30,29,8,9,30,31,45,49,84,83,54,53,32,31,-,-,2,8,-,-,-,-,28,27,29,33,11,60,73,73,73,13,-,-,-,-,18,46,7,36,2,1,2535,Low,-,Yes,Yes,-,-,83,75,80,80,70,77,0,1,1,0,1,1,-,-,-,-,-,-
Latvia,1874,348,93,-1,-1,17,2,70,70,74,59,25,34,68,-1,-1,,-4,17,14,4,6,4,3,13,3,8,7,2,5,1,6,3,3,65,35,78,72,-,92,-,100,98,-,3,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,1,2,1,6,4,-,-,-,-,-,-,-,-,99,85,78,83,100,100,-,-,-,-,-,-,100,100,100,100,100,-,-,-,19,42,7,35,1,1,17819,Very low,-,Yes,Yes,89,93,65,70,68,52,58,56,9,6,7,7,5,5,-,-,-,-,-,-
Lebanon,5593,1847,445,1,-2,84,2,67,74,75,59,44,15,89,1,-1,,-20,32,20,8,4,9,8,27,7,20,12,5,6,2,11,6,3,724,404,77,72,-,96,-,98,100,-,18,21,62,63,60,-,-,56,58,54,-,-,29,16,9,8,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,32,35,100,100,-,-,-,6,-,98,99,100,98,-,-,-,-,-,21,40,8,32,1,1,7584,Very high,-,No,No,33,33,68,75,72,22,24,23,3,6,5,7,11,10,-,-,-,-,-,-
Lesotho,2281,916,275,1,1,60,3,51,48,53,62,55,7,29,2,2,,-1,84,107,73,2,79,66,68,57,39,36,35,16,8,37,27,2,4312,2100,56,48,83,91,77,87,89,10,330,566,46,45,46,20,83,28,27,29,16,45,3,57,17,17,17,27,9,73,68,78,66,77,58,57,8,6,18,11,38,29,69,92,33,55,27,37,13,1,-,-,-,-,-,-,14,15,13,16,2,28,45,46,44,-,10,48,10,23,14,50,5,45,2,1,1118,Medium,-,No,No,13,14,79,72,76,63,58,60,18,23,20,26,30,28,80,83,45,46,-,-
Liberia,5193,2492,745,3,2,163,4,41,51,61,80,74,6,53,3,3,,-2,264,189,76,4,82,70,176,57,60,48,30,32,17,30,23,1,12187,4866,62,42,41,98,87,84,80,5,1100,652,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,22,21,17,26,20,31,36,33,29,23,18,9,-,-,-,-,-,-,-,-,32,29,34,25,8,64,66,67,65,-,6,40,16,23,19,43,7,35,1,1,622,High,-,Yes,No,8,3,89,73,80,83,63,72,1,6,4,1,4,2,-,-,-,-,-,-
Libya,6735,2332,614,1,1,120,2,55,71,72,51,44,7,81,1,1,,0,42,28,11,5,12,10,36,9,21,15,6,8,3,12,7,2,1306,692,74,60,24,93,-,100,100,-,88,72,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,-,-,7686,-,-,Yes,No,13,10,62,67,65,32,35,34,13,16,15,23,25,24,-,-,-,-,-,-
Liechtenstein,39,7,2,1,1,0,1,65,77,83,50,22,28,14,1,1,,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,3,2,1,7,2,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,-,-,-,-,-,-,181403,-,-,-,-,81,63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,2787,499,140,-1,-1,27,2,71,72,74,56,24,32,68,-1,-1,,-4,15,11,3,6,4,3,12,3,8,5,2,4,1,5,3,3,91,51,79,70,-,100,-,100,-,-,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,4,2,-,-,-,-,-,-,-,-,97,81,76,74,-,-,-,-,-,0,-,-,100,100,100,100,-,-,-,-,19,43,7,35,1,1,19551,Very low,100,Yes,Yes,91,89,63,71,68,53,60,57,10,5,7,7,5,6,96,96,85,81,-,-
Luxembourg,639,122,33,2,1,7,1,70,78,83,44,23,21,92,2,1,,11,9,5,3,2,3,2,7,2,4,2,2,2,0,4,4,0,18,11,85,86,-,-,97,100,100,29,0,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,4,21,17,-,-,-,-,-,-,-,-,-,-,71,73,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,19,42,7,32,1,1,114685,-,-,Yes,Yes,70,68,63,67,65,52,57,55,4,7,6,4,6,6,-,-,-,-,-,-
Madagascar,28916,13292,4151,3,2,895,4,48,58,64,75,69,6,39,4,4,,0,156,105,66,2,71,61,95,45,39,31,24,36,21,20,18,1,57839,21571,67,35,66,85,51,46,39,2,3500,392,15,15,15,7,42,25,25,26,17,44,1,52,34,33,34,36,25,67,65,68,64,81,43,38,-,-,31,29,63,64,52,60,26,27,16,15,13,4,6,6,-,-,81,79,37,38,35,40,12,74,79,79,78,-,-,-,-,-,16,49,6,43,2,1,523,High,-,Yes,No,11,9,91,80,89,87,73,83,1,5,2,1,6,2,-,-,-,-,-,-
Malawi,19890,10052,3034,3,2,654,4,37,45,63,85,80,5,18,3,4,,0,245,174,42,7,46,37,142,31,51,39,19,38,12,22,16,1,26800,12608,67,48,74,97,51,96,97,8,2500,381,34,31,36,21,55,35,34,37,27,48,1,37,44,45,43,47,33,60,56,64,52,70,-,-,-,-,19,18,62,76,43,52,23,21,15,13,-,-,-,-,-,-,-,-,14,14,14,42,7,7,6,6,5,-,10,37,17,18,16,52,6,45,2,1,412,High,-,No,No,8,2,81,76,80,74,62,73,4,7,5,5,14,7,-,-,-,-,-,-
Malaysia,33574,9311,2572,2,1,511,2,63,73,75,43,33,10,78,3,1,,1,17,10,8,1,8,7,14,6,8,5,4,5,2,5,5,0,3866,2153,77,76,-,97,97,100,99,21,110,21,53,52,55,-,-,25,25,24,-,-,56,62,3,3,3,-,-,-,-,-,-,-,10,9,2,1,13,10,42,37,-,-,-,-,-,-,-,-,58,64,54,59,97,97,-,-,-,-,-,-,-,-,-,47,3,48,12,25,16,47,6,41,2,1,11414,-,30,No,No,62,63,77,80,77,53,45,51,2,5,3,3,6,4,98,95,88,82,-,-
Maldives,521,132,38,3,0,7,2,45,71,80,36,29,6,41,5,1,,2,86,39,6,9,6,5,63,5,39,22,4,9,1,15,5,5,44,30,81,69,29,99,82,100,95,40,4,57,78,78,79,69,82,96,96,97,97,-,59,48,12,10,14,11,22,93,91,95,92,-,8,5,3,1,3,15,55,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,96,99,99,99,26,8,35,23,15,21,40,8,31,1,1,10627,-,-,No,Yes,6,4,83,86,85,41,42,42,5,8,6,4,7,5,-,-,-,-,-,-
Mali,21905,11904,4004,3,3,913,6,33,51,59,99,94,5,45,5,4,,-1,231,188,97,3,102,92,120,62,67,51,33,40,21,32,23,2,85222,30484,60,42,41,80,43,67,67,3,3900,440,5,6,5,1,21,55,55,55,53,65,0,52,32,32,32,31,27,62,60,63,54,67,53,57,38,44,49,56,71,79,50,41,36,25,23,12,-,-,-,-,-,-,55,38,13,15,12,54,2,87,87,88,86,-,5,-,-,-,-,-,-,33,1,1,879,High,-,Yes,Yes,8,3,83,76,81,62,48,58,7,6,7,7,13,8,-,-,-,-,-,-
Malta,527,82,24,1,0,5,1,69,78,84,47,19,28,95,1,1,,20,11,8,6,1,6,5,10,5,8,5,4,1,1,4,3,1,27,18,86,81,-,100,-,100,100,31,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,-,-,2,1,10,7,-,-,-,-,-,-,-,-,73,69,64,62,99,100,-,-,-,-,-,-,100,100,100,100,-,-,-,-,22,38,9,28,1,1,29737,Low,-,Yes,Yes,49,47,73,67,67,52,48,48,2,3,3,3,4,4,-,-,-,-,-,-
Marshall Islands,42,16,4,-1,0,1,3,59,63,65,60,53,7,78,0,1,,-44,47,42,30,2,33,26,38,25,18,19,14,9,6,14,11,1,26,11,67,-,81,81,77,92,85,9,-,-,5,5,5,4,11,72,72,73,71,83,19,71,9,9,10,10,9,79,80,78,84,82,38,41,29,30,30,26,46,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,12,80,84,85,82,-,-,-,-,-,-,-,-,-,-,-,3788,-,-,No,No,72,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,4615,2252,695,2,2,153,4,51,61,64,83,77,6,56,4,3,,0,117,99,40,4,45,36,71,32,45,39,23,20,8,25,17,2,6070,3463,66,40,30,87,63,69,69,5,700,464,12,12,12,3,30,44,46,42,30,65,1,33,34,35,34,39,26,60,58,62,52,68,-,-,25,21,31,25,63,59,68,58,53,40,31,23,-,-,-,-,-,-,-,-,14,15,13,37,2,45,66,66,66,-,-,-,-,-,20,40,8,33,1,1,1679,-,-,Yes,Yes,13,7,63,63,63,26,30,28,6,12,10,8,15,12,-,-,-,-,-,-
Mauritius,1299,272,66,0,0,13,1,61,72,74,41,23,17,41,0,0,,0,23,19,17,1,18,15,20,15,15,12,11,3,2,13,10,1,223,142,77,65,41,-,-,100,98,-,11,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,12,-,-,5,2,26,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,27,12,19,45,7,37,2,1,11099,-,90,Yes,Yes,48,40,67,73,71,43,46,45,3,5,4,7,11,9,81,78,93,87,-,-
Mexico,126705,38144,9893,1,1,1882,2,61,74,70,49,37,12,81,2,1,,0,45,28,13,4,14,12,36,11,22,14,8,5,2,10,7,2,25592,15274,75,74,80,99,94,97,97,41,1200,59,65,61,70,-,-,71,71,71,-,-,29,75,6,7,5,-,-,80,81,79,-,-,2,0,-,-,9,6,29,25,98,98,87,90,56,60,-,-,-,-,55,44,99,99,6,3,5,21,-,89,97,97,97,11,23,51,16,28,15,52,5,46,3,1,9946,Low,80,No,Yes,39,38,82,77,79,34,49,46,2,4,4,3,4,4,73,70,41,33,11,28
Micronesia (Federated States of),113,42,11,0,1,2,3,61,70,71,58,48,9,23,0,2,,-6,49,38,25,2,28,22,39,21,24,20,13,9,5,14,11,1,58,31,75,48,-,80,-,100,87,11,1,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,34,17,16,15,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,16,46,6,40,2,1,3568,-,-,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monaco,37,6,2,1,0,0,2,73,82,86,95,25,70,100,1,0,,6,8,5,3,3,3,3,4,1,4,3,2,2,1,3,2,3,1,0,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,-,185829,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolia,3348,1220,380,1,1,72,3,53,63,71,58,51,7,69,2,1,,0,107,64,15,7,16,13,77,13,30,23,8,11,3,12,4,5,1074,541,76,63,64,99,89,99,98,26,29,39,74,72,76,34,89,58,57,59,39,76,29,65,13,12,13,16,9,76,72,80,78,76,3,5,2,3,8,7,15,9,96,98,87,93,60,73,44,-,-,-,-,-,99,99,15,16,13,12,2,98,100,100,100,100,85,45,18,24,20,41,8,33,1,1,4340,Low,-,Yes,No,39,50,80,66,71,69,49,55,3,8,6,3,6,5,94,95,91,95,8,19
